net,length_um
_159_,532.72
_161_,526.94
_085_,490.815
_095_,487.58
net1,464.72
decoder.digit\[0\],449.535
one_second_counter\[0\],404.675
_027_,395.995
_114_,386.56
one_second_counter\[1\],367.16
_160_,366.255
_127_,358.92
_075_,353.92
one_second_counter\[16\],353
decoder.digit\[1\],341.1
one_second_enable,334.775
decoder.digit\[3\],331.12
one_second_counter\[17\],331.12
one_second_counter\[18\],310.685
one_second_counter\[8\],308.82
one_second_counter\[10\],305.92
_064_,302.48
one_second_counter\[19\],296.58
_077_,295.76
one_second_counter\[21\],295.76
one_second_counter\[12\],294.26
one_second_counter\[9\],290.32
decoder.digit\[2\],286.755
_020_,285.3
one_second_counter\[15\],280.925
_086_,274.86
one_second_counter\[2\],274.56
_119_,273.11
clknet_2_2__leaf_clk,262.32
net8,261.18
one_second_counter\[5\],258.46
_136_,257.7
_103_,254.82
_150_,254.755
one_second_counter\[4\],252.705
_109_,250.34
_002_,247.74
one_second_counter\[3\],245.3
one_second_counter\[13\],244.12
_083_,242.38
one_second_counter\[25\],239.44
_030_,238.28
_155_,236.33
one_second_counter\[22\],234.94
_145_,233.8
_091_,232
one_second_counter\[11\],230.46
_151_,228.12
one_second_counter\[20\],227.44
_112_,226.56
_111_,223.95
_065_,219.48
_067_,214.52
_084_,211.63
_129_,211.38
_113_,210.28
_066_,201.82
_117_,196.2
_143_,191.58
_037_,191.16
_033_,191.13
clknet_2_3__leaf_clk,189.9
_139_,189.88
_100_,188.94
net4,186.52
_057_,185.06
one_second_counter\[14\],184.48
_073_,180.34
_138_,179.7
_000_,177.48
_059_,176.94
net7,176.66
_038_,175.37
_102_,171.5
_104_,171
_079_,170.96
_135_,170.38
_019_,168.3
clknet_2_1__leaf_clk,167.92
_043_,167.71
_025_,166.2
_055_,166.02
_140_,165.78
_068_,163.02
_108_,162.26
clknet_0_clk,161.97
_063_,161.96
one_second_counter\[6\],161.08
one_second_counter\[23\],159.7
_072_,158.06
_123_,156.56
_076_,154
one_second_counter\[7\],152.22
_106_,150.22
_148_,149.38
clk,148
_144_,146.58
net6,146.44
_003_,146.16
_121_,143.62
_040_,143.35
_097_,142.14
one_second_counter\[24\],139.78
_147_,139.7
_146_,138.98
_101_,138.92
_034_,134.72
_032_,133.75
_142_,130.28
_036_,128.55
_053_,127.89
one_second_counter\[26\],127.38
_062_,125.125
_124_,124.56
clknet_2_0__leaf_clk,123.02
_012_,122.62
_035_,119.05
_080_,117.82
_048_,117.78
_029_,117.43
_125_,117.36
_098_,117.32
_157_,116.66
_133_,116.36
_039_,114.17
_031_,113.49
_078_,112.8
_014_,111.62
_058_,110.27
_028_,109.64
_052_,109.45
_011_,109.105
net3,107.94
_049_,107.67
_090_,107.66
_105_,107.52
_153_,105.92
_110_,105.36
net5,102.34
_041_,100.18
_015_,99.64
_082_,98.54
_156_,97.96
_131_,97.36
_132_,97.08
_013_,95.54
_099_,94.71
_022_,94.36
_060_,94.175
_158_,92.54
_120_,92.06
_128_,90.4
_016_,88.26
_010_,87.56
_047_,86.99
_094_,86.52
_116_,85.84
_001_,84.86
_051_,82.91
_122_,81.42
_070_,80.26
_045_,79.75
_118_,79.58
_006_,78.86
_126_,78.58
_071_,77.02
_081_,76
_023_,75.82
_107_,73.44
_152_,73.4
_089_,72.82
_137_,72.22
_021_,70.02
_093_,69.98
_074_,69.06
_042_,68.67
_130_,67.6
_061_,67.56
_008_,67.2
_024_,66.72
_087_,59.24
_005_,56.58
_069_,56.06
_004_,55.9
_092_,51.68
_154_,49.3
_017_,45.4
_018_,45.22
_054_,40.25
_149_,37.7
_046_,37.01
_096_,36.54
_134_,35.82
_115_,35.24
_088_,30.8
_009_,30.44
_007_,26.76
_056_,25.37
_050_,23.51
_044_,21.32
net2,17.18
_026_,15.96
_141_,14.76
rst,6.31
net12,5.99
net13,5.97
seg[0],5.31
net11,5.29
net15,5.29
seg[1],5.29
seg[3],5.29
seg[5],5.29
net9,5.29
net16,4.61
net14,3.93
net10,3.93
seg[2],3.93
seg[4],3.93
seg[6],3.93
